vd_min_mv,vd_max_mv,n_points,e_C,e_total_err_C,accepted_ratio,chi2_red,p_value
0.0,inf,28,1.8355336546448108e-19,4.126389505145307e-21,1.1456499961943716,1.1344091059002617,0.2890736635632171
20.0,inf,24,1.8339479128005281e-19,4.124500832796621e-21,1.1446602539832873,1.2195168863127568,0.21777892208050786
50.0,inf,23,1.835352504176252e-19,4.128175102417986e-21,1.1455369309650363,1.0703614752517516,0.372450928868037
100.0,inf,21,1.8346837535888827e-19,4.127878327482118e-21,1.1451195296790746,1.1438126350916595,0.29777397552157525
200.0,inf,16,1.837545875076018e-19,4.13799559190637e-21,1.146905925402491,1.0247074217872048,0.424271734457556
500.0,inf,11,1.8374792039554266e-19,4.15300577902558e-21,1.1468643125620734,0.5885055442981195,0.807729037953842
0.0,5000.0,26,1.8384859626141667e-19,4.145058731111482e-21,1.1474926818925053,1.191127324054,0.2360597813132245
100.0,5000.0,19,1.8377004847168974e-19,4.150137758887116e-21,1.1470024251501458,1.2344014133480974,0.22696985544353565
200.0,5000.0,14,1.842362912827223e-19,4.168255799133409e-21,1.1499124838861077,1.0736553142452538,0.3775382215356667
500.0,5000.0,9,1.8451429473496102e-19,4.2104641945488816e-21,1.151647644955987,0.5027204387938952,0.833204364791937
