tail_start_khz,G,G_err_stat,tail_percent,e_C,e_total_err_C,chi2_red,p_value
45.0,38673129435.025795,10127122.97640226,0.27926479432361734,1.834898192332121e-19,4.124967714054451e-21,1.1344091059001058,0.289073663563393
50.0,38659740781.91931,10126071.491017057,0.24472947918211013,1.8355336546448108e-19,4.126397106800267e-21,1.1344091059002617,0.2890736635632171
55.0,38656304026.79693,10126697.397594435,0.23586069450189037,1.8356968437073915e-19,4.126764229473377e-21,1.1344091059001173,0.28907366356338005
60.0,38659088382.12708,10129036.33867828,0.24304603757794524,1.8355646307134409e-19,4.126466950113996e-21,1.134409105900149,0.28907366356334413
65.0,38666183726.41356,10133856.709455878,0.26135169552293136,1.8352277998971136e-19,4.1257095273746436e-21,1.1344091059001404,0.2890736635633541
