n_eff,n_points,e_C,e_total_err_C,accepted_ratio,chi2,dof,chi2_red,p_value
1,28,1.8353398429229573e-19,4.171027663436228e-21,1.145529028432303,12.367426544058416,26,0.47567025169455446,0.9889051763492445
2,28,1.8353398430384748e-19,4.13825990010957e-21,1.1455290285044033,24.734853088114,26,0.951340503389,0.5340209198948158
3,28,1.8353398430076122e-19,4.127279501198526e-21,1.1455290284851405,37.10227963217214,26,1.4270107550835438,0.07318300799602065
4,28,1.8353398429229573e-19,4.1217783320528325e-21,1.145529028432303,49.469706176233665,26,1.9026810067782178,0.003635311551283907
5,28,1.8353398428880452e-19,4.118474103348963e-21,1.1455290284105126,61.83713272029456,26,2.378351258472868,9.44987463121675e-05
