f_khz,f_hz,vi_mv_mean,vi_mv_sem,vi_mv_std,vo_mv_mean,vo_mv_sem,vo_mv_std,gain2_mean,gain2_sem,gain2_std,row_gain2_mean,row_gain2_sem,row_gain2_std,gain2_reduction,n
0.5,500.0,1.2833333333333334,0.0003333333333333707,0.0005773502691896904,94.92999999999999,0.18193405398660123,0.31511902513177237,5471.7722448979575,21.165125917495097,nan,5471.833799,23.5019144250711,40.706509859359045,ratio_of_mean_vo_to_mean_vi,3
0.6,600.0,1.282,0.0005773502691896263,0.0010000000000000009,143.32333333333335,0.139204086785479,0.24110855093367695,12498.495840509651,26.761499542652768,nan,12498.559983333333,32.11641737687894,55.6272666538423,ratio_of_mean_vo_to_mean_vi,3
0.75,750.0,1.2830000000000001,0.0005773502691896263,0.0010000000000000009,312.54,0.10503967504392406,0.1819340539866011,59341.415682870116,66.65841107948563,nan,59341.44003333334,28.537470064095924,49.42834807049,ratio_of_mean_vo_to_mean_vi,3
0.8,800.0,1.2830000000000001,0.0005773502691896263,0.0010000000000000009,395.3866666666667,0.26710380836753156,0.4626373669877057,94970.9378883996,154.17725766195943,nan,94971.06248333334,128.1334455254497,221.9336377989379,ratio_of_mean_vo_to_mean_vi,3
0.85,850.0,1.2823333333333333,0.0003333333333332966,0.0005773502691895622,487.02333333333337,0.41417924192846933,0.7173794904604707,144243.97250592915,256.5437199319803,nan,144244.1699,236.17689271226791,409.07037775139173,ratio_of_mean_vo_to_mean_vi,3
0.92,920.0,1.283,0.0005773502691896263,0.0010000000000000009,624.0333333333333,0.09562658858521648,0.16563010998408098,236571.4132778429,224.9208477422128,nan,236571.6369,181.25122820202745,313.9363361801725,ratio_of_mean_vo_to_mean_vi,3
1.0,1000.0,1.2833333333333334,0.0003333333333333707,0.0005773502691896904,774.63,0.3787259343289491,0.6559725604017338,364342.3668139652,403.4176550913573,nan,364342.93756666663,503.49031784928036,872.0708116339567,ratio_of_mean_vo_to_mean_vi,3
1.2,1200.0,1.2830000000000001,0.0005773502691896263,0.0010000000000000009,1033.7466666666667,0.22556102894295252,0.3906831623367078,649194.6491620102,649.3379444976583,nan,649194.9907,301.9514338607932,522.9952248651673,ratio_of_mean_vo_to_mean_vi,3
1.5,1500.0,1.2833333333333334,0.0003333333333333707,0.0005773502691896904,1162.5233333333333,0.25458026457503596,0.4409459528482894,820586.574795075,557.5675373088552,nan,820586.6360666667,155.02797060512606,268.51632168237273,ratio_of_mean_vo_to_mean_vi,3
2.0,2000.0,1.283,0.0,0.0,1204.3666666666666,0.21858128414339772,0.37859388972001423,881179.0053744224,319.8514935456144,nan,881179.0634333333,319.87825889386306,554.0453966408419,ratio_of_mean_vo_to_mean_vi,3
3.2,3200.0,1.2826666666666666,0.0003333333333332966,0.0005773502691895622,1216.3666666666666,0.14529663145136276,0.25166114784237037,899293.3939006572,514.4202649992611,nan,899293.5791000001,283.49131497547006,491.02136104202583,ratio_of_mean_vo_to_mean_vi,3
5.0,5000.0,1.2833333333333334,0.0003333333333333707,0.0005773502691896904,1218.1333333333334,0.03333333333337881,0.05773502691904134,900970.7782088042,470.6270029866737,nan,900971.0929,418.57070000000147,724.9857189596728,ratio_of_mean_vo_to_mean_vi,3
7.0,7000.0,1.282,0.0005773502691896263,0.0010000000000000009,1217.0666666666666,0.14529663145135407,0.2516611478423553,901265.3731318257,839.809964958944,nan,901266.6498333333,919.0697120736162,1591.8754370092024,ratio_of_mean_vo_to_mean_vi,3
10.0,10000.0,1.2826666666666666,0.0006666666666666674,0.0011547005383792527,1211.0,0.47258156262530415,0.81853527718732,891375.4505945256,1158.6899686174331,nan,891376.8603,1034.381252289623,1791.6008833623482,ratio_of_mean_vo_to_mean_vi,3
13.0,13000.0,1.2813333333333332,0.0003333333333333707,0.0005773502691896904,1203.0333333333333,0.4702245326555532,0.8144527815247488,881517.7734182548,827.7856769017424,nan,881517.9687333334,551.8399956313463,955.8149100820789,ratio_of_mean_vo_to_mean_vi,3
17.0,17000.0,1.2806666666666666,0.0003333333333332966,0.0005773502691895622,1187.5,0.5,0.8660254037844386,859795.2173042357,851.2086793946892,nan,859796.2487666667,1023.9678057570889,1773.564264886097,ratio_of_mean_vo_to_mean_vi,3
20.0,20000.0,1.2796666666666667,0.0003333333333333707,0.0005773502691896904,1173.8666666666666,0.46666666666664286,0.8082903768654348,841480.0540727553,799.8850208715517,nan,841480.7622333333,850.4181265936595,1472.9674029377595,ratio_of_mean_vo_to_mean_vi,3
25.0,25000.0,1.2773333333333332,0.0003333333333333707,0.0005773502691896904,1145.2666666666667,0.6173419725817473,1.069267662156379,803905.0371337294,962.8916634394079,nan,803906.2478666665,1123.1523307712346,1945.3569015351836,ratio_of_mean_vo_to_mean_vi,3
30.0,30000.0,1.277,0.0005773502691896263,0.0010000000000000009,1108.1666666666667,0.2848001248439603,0.49328828623169846,753057.9030060245,783.2629895170326,nan,753058.8555666668,748.862787753301,1297.0683962863857,ratio_of_mean_vo_to_mean_vi,3
33.0,33000.0,1.2763333333333333,0.0006666666666666674,0.0011547005383792527,1077.7333333333333,0.18559214542764835,0.3214550253663988,713008.0079851358,784.286908352424,nan,713009.0337666668,695.8602547451472,1205.2653161864168,ratio_of_mean_vo_to_mean_vi,3
35.0,35000.0,1.276,0.0005773502691896263,0.0010000000000000009,1052.5,0.41633319989319384,0.7211102550927412,680366.4038777135,817.7998751899513,nan,680367.7220000001,922.6839649824414,1598.1355066786912,ratio_of_mean_vo_to_mean_vi,3
38.0,38000.0,1.2736666666666665,0.0003333333333333707,0.0005773502691896904,1006.1666666666666,0.0881917103688111,0.1527525231651798,624062.7851661514,344.48195707801835,nan,624062.9430666667,226.20379902764495,391.7964727809804,ratio_of_mean_vo_to_mean_vi,3
40.0,40000.0,1.2726666666666666,0.0003333333333332966,0.0005773502691895622,968.9366666666666,0.25464572339709257,0.4410593308538951,579644.1311811574,430.1403936104886,nan,579644.1448333333,90.64211569217487,156.99674968438308,ratio_of_mean_vo_to_mean_vi,3
45.0,45000.0,1.2710000000000001,0.0005773502691896263,0.0010000000000000009,844.3766666666667,0.2828623536477193,0.48993196806636546,441348.1861678086,498.2068173146486,nan,441348.7819666667,475.52024310251255,823.6252210810557,ratio_of_mean_vo_to_mean_vi,3
50.0,50000.0,1.2683333333333333,0.0003333333333332966,0.0005773502691895622,688.18,0.15947831618540073,0.27622454633864807,294399.6443990116,206.30948497921355,nan,294399.8968666667,267.67477046156944,463.6263023437752,ratio_of_mean_vo_to_mean_vi,3
55.0,55000.0,1.266,0.0005773502691896263,0.0010000000000000009,528.7733333333334,0.1637409878775224,0.2836077102853884,174450.28316502608,192.32797646601398,nan,174450.71839999998,262.8225656730636,455.22203712135405,ratio_of_mean_vo_to_mean_vi,3
60.0,60000.0,1.2613333333333332,0.0003333333333333707,0.0005773502691896904,393.19,0.09539392014170613,0.16522711641860308,97172.90400020785,69.72144783629145,nan,97172.91436000001,28.27868629612537,48.98012143619089,ratio_of_mean_vo_to_mean_vi,3
65.0,65000.0,1.2626666666666666,0.0003333333333332966,0.0005773502691895622,291.3433333333333,0.304703863520703,0.5277625728803905,53239.349244097684,114.85450406101458,nan,53239.41975666666,97.80597546907373,169.40491879627095,ratio_of_mean_vo_to_mean_vi,3
70.0,70000.0,1.255,0.0005773502691896263,0.0010000000000000009,218.67666666666665,0.093333333333331,0.16165807537309118,30361.095566384305,38.10545689159003,nan,30361.115696666664,23.596327627825854,40.87003832343558,ratio_of_mean_vo_to_mean_vi,3
80.0,80000.0,1.248,0.0005773502691896263,0.0010000000000000009,136.22666666666666,0.32425984093693294,0.5616345193569704,11915.02860417123,57.783974955234235,nan,11915.149949999999,54.78099237310572,94.88346207926226,ratio_of_mean_vo_to_mean_vi,3
90.0,90000.0,1.2396666666666667,0.0003333333333332966,0.0005773502691895622,100.81,0.4860384072615405,0.8418432158068421,6612.982633672382,63.8658526623964,nan,6613.447943,67.40027645846301,116.74070327024644,ratio_of_mean_vo_to_mean_vi,3
