scaled_x_min_1e17_v2_per_c,n_points,e_C,e_total_err_C,accepted_ratio,chi2_red,p_value
0.0,28,1.8352247515766764e-19,4.117991787301827e-21,1.1454571940640825,2.3810920436433616,9.240162229555826e-05
0.05,19,1.8336564348796525e-19,4.117831136739921e-21,1.1444783277744721,2.4316611902793777,0.0008350445081077067
0.1,14,1.8430660325394489e-19,4.144139227212371e-21,1.1503513366925366,1.119309862079263,0.3384575284523296
0.2,10,1.8375395332298967e-19,4.147381389134905e-21,1.1469019671334795,1.066620047310743,0.38321121997824553
0.25,9,1.8375055627154523e-19,4.1518162593179935e-21,1.1468807644060626,1.2189505579326905,0.2879720495600719
0.5,7,1.834161344487918e-19,4.1663911671584064e-21,1.1447934675646494,1.0542165941684252,0.3837003708181559
0.75,6,1.8192214568402762e-19,4.1911217877582664e-21,1.1354687231322314,0.15556725974085245,0.9605572332030894
