R_kohm,R_err_kohm,C_pF,C_err_pF,G,G_mc_mean,G_mc_std,G_ci_95_low,G_ci_95_high,plot_path,csv_path
334.0,0.0,73,0,7962216050.551156,7962220581.913994,1088538.357753995,7960079255.080104,7964350664.331203,G_results\G_plot_R_334_kohm.png,G_results\G_processed_R_334_kohm.csv
2753.0,2.0,73,0,510366425.6410114,510363004.8620919,631842.942852258,509111350.0146772,511605557.7207489,G_results\G_plot_R_2753_kohm.png,G_results\G_processed_R_2753_kohm.csv
98.5,0.05,73,0,22200449063.232574,22200433840.175137,8354626.640933942,22183968294.494762,22216762264.30051,G_results\G_plot_R_98p5_kohm.png,G_results\G_processed_R_98p5_kohm.csv
815.0,0.05,73,0,3010491517.9348392,3010490577.8155603,456034.87445269595,3009600846.7483377,3011383277.2981424,G_results\G_plot_R_815_kohm.png,G_results\G_processed_R_815_kohm.csv
999.0,0.05,73,0,2330151867.537553,2330151176.114585,339486.0647663291,2329490966.742564,2330817756.7938733,G_results\G_plot_R_999_kohm.png,G_results\G_processed_R_999_kohm.csv
178.4,0.05,73,0,14044936031.36048,14044930638.416388,3810101.719912907,14037415083.211206,14052325864.523447,G_results\G_plot_R_178p4_kohm.png,G_results\G_processed_R_178p4_kohm.csv
9.88,0.05,73,0,44693691020.34639,44693696073.93292,11367324.831599964,44671425844.28225,44715776212.49196,G_results\G_plot_R_9p88_kohm.png,G_results\G_processed_R_9p88_kohm.csv
46.7,0.05,73,0,33780214363.94219,33780178907.4651,15782484.5033807,33749188509.339306,33810936767.702652,G_results\G_plot_R_46p7_kohm.png,G_results\G_processed_R_46p7_kohm.csv
26.9,0.05,73,0,40109658713.960075,40109624535.057816,17105662.02496144,40075840607.57659,40142994127.00104,G_results\G_plot_R_26p9_kohm.png,G_results\G_processed_R_26p9_kohm.csv
