f_khz,gain2_mean,gain2_std,n,gain2_sem,f_hz,weight,weighted_integrand,C_pF,R_kohm
0.5,3475.983146666667,1.8612990260611075,3,1.0746214937387688,500.0,0.9941669230074052,3455.707469347198,73,334
0.6,14589.643526666667,9.133704352590684,3,5.273346666666688,600.0,0.9916218720474399,14467.409626418013,73,334
0.75,79330.64060333333,44.327666311212226,3,25.592590077326285,750.0,0.9869705787880344,78297.00827189744,73,334
0.8,125233.1082,88.19826449216659,3,50.921291746610194,800.0,0.9852019789727019,123379.9060315425,73,334
0.85,187319.91876666667,113.17020481169861,3,65.33884821227927,850.0,0.9833262277522563,184196.58910368543,73,334
0.92,299416.37043333333,306.06982930917184,3,176.70949834247318,920.0,0.9805225705313924,293584.5091964716,73,334
1.0,445443.7301,446.3990562357669,3,257.72861528371493,1000.0,0.977068967464518,435229.24543235044,73,334
1.2,749102.3164,391.65460176874547,3,226.12188976054088,1200.0,0.9673091524994706,724613.5268122742,73,334
1.5,900855.3414666667,549.0581585579232,3,316.9988756441772,1500.0,0.9498428702625357,855671.0232300353,73,334
2.0,925083.8912,563.8694977396826,3,325.55020630782485,2000.0,0.9141797132229393,845692.9263643768,73,334
3.2,914109.4862666667,527.5415109112404,3,304.57623333330656,3200.0,0.8062405170968244,736992.1048907499,73,334
5.0,906937.4479666665,523.576904347729,3,302.2872666666323,5000.0,0.6302268885814135,571576.3659699999,73,334
10.0,904797.8274666667,522.6029721786831,3,301.7249666666612,10000.0,0.29878211342702143,270337.40711466817,73,334
20.0,906754.1623999999,553.6568391682624,3,319.65392513247366,20000.0,0.09626786561425764,87291.28785109194,73,334
25.0,904993.1017333334,523.7637348948743,3,302.3951333333195,25000.0,0.06382332260895565,57759.66669080596,73,334
30.0,894482.5639666667,898.899663039079,3,518.9799624300762,30000.0,0.045203286911749525,40433.551976542585,73,334
33.0,879388.9431333333,509.9677770075137,3,294.4300333333231,33000.0,0.037653487442086575,33112.06052698075,73,334
35.0,861800.8502000001,500.0193390490901,3,288.68630000001093,35000.0,0.03361369742320819,28968.31301768637,73,334
38.0,820315.9150666666,504.53526652618876,3,291.2935719445547,38000.0,0.02866189126190413,23511.80555805018,73,334
40.0,779108.8476999999,2519.367087729946,3,1454.5572662883678,40000.0,0.025939846657633006,20209.964038943144,73,334
45.0,635824.1498666666,639.3405606136947,3,369.1234447741629,45000.0,0.020607873983167734,13102.98395590702,73,334
50.0,454063.4975666666,263.9795541805056,3,152.4086666666723,50000.0,0.016757993784950753,7609.1932701952,73,334
55.0,288064.6581666667,136.47342154575796,3,78.79296666667264,55000.0,0.013889979425302509,4001.2121750918004,73,334
60.0,170579.31590000002,99.47046544311075,3,57.42929999999736,60000.0,0.011697392158326441,1995.333152181349,73,334
65.0,98346.9572,101.08246194478194,3,58.35998661416996,65000.0,0.009984285345127644,981.9240835098557,73,334
70.0,56811.66209333334,58.770817510606754,3,33.93134731024318,70000.0,0.008620755967797697,489.7594750316096,73,334
80.0,20112.931446666666,20.45036698206484,3,11.80702488212177,80000.0,0.006613629057102021,133.01946783917566,73,334
90.0,7840.301570333333,12.22037501985523,3,7.055436807311596,90000.0,0.005232846882639925,41.02709763127569,73,334
