f_khz,gain2_mean,gain2_std,n,gain2_sem,f_hz,weight,weighted_integrand,C_pF,R_kohm
0.5,3475.983146666667,1.8612990260611075,3,1.0746214937387688,500.0,0.9999619430922589,3475.850861496745,73,26.9
0.6,14589.643526666667,9.133704352590684,3,5.273346666666688,600.0,0.9999451989704984,14588.843999181343,73,26.9
0.75,79330.64060333333,44.327666311212226,3,25.592590077326285,750.0,0.9999143760308121,79323.84799900666,73,26.9
0.8,125233.1082,88.19826449216659,3,50.921291746610194,800.0,0.9999025800998834,125220.90800310786,73,26.9
0.85,187319.91876666667,113.17020481169861,3,65.33884821227927,850.0,0.9998900234469732,187299.31796768744,73,26.9
0.92,299416.37043333333,306.06982930917184,3,176.70949834247318,920.0,0.9998711662297844,299377.79549346614,73,26.9
1.0,445443.7301,446.3990562357669,3,257.72861528371493,1000.0,0.9998477897469906,445375.92899714,73,26.9
1.2,749102.3164,391.65460176874547,3,226.12188976054088,1200.0,0.9997808319139038,748938.1370790243,73,26.9
1.5,900855.3414666667,549.0581585579232,3,316.9988756441772,1500.0,0.9996575920782246,900546.8814613748,73,26.9
2.0,925083.8912,563.8694977396826,3,325.55020630782485,2000.0,0.9993914368766037,924520.9192577677,73,26.9
3.2,914109.4862666667,527.5415109112404,3,304.57623333330656,3200.0,0.998443556027378,912686.7260664504,73,26.9
5.0,906937.4479666665,523.576904347729,3,302.2872666666323,5000.0,0.9962085938560895,903498.8797543033,73,26.9
10.0,904797.8274666667,522.6029721786831,3,301.7249666666612,10000.0,0.9850049325964049,891230.3230571776,73,26.9
20.0,906754.1623999999,553.6568391682624,3,319.65392513247366,20000.0,0.9426018000183298,854708.1056523529,73,26.9
25.0,904993.1017333334,523.7637348948743,3,302.3951333333195,25000.0,0.9131203512220193,826367.618908246,73,26.9
30.0,894482.5639666667,898.899663039079,3,518.9799624300762,30000.0,0.879499677082113,786697.1261642638,73,26.9
33.0,879388.9431333333,509.9677770075137,3,294.4300333333231,33000.0,0.8577931629249776,754333.8229715953,73,26.9
35.0,861800.8502000001,500.0193390490901,3,288.68630000001093,35000.0,0.8428249860070445,726347.2895106741,73,26.9
38.0,820315.9150666666,504.53526652618876,3,291.2935719445547,38000.0,0.8197896802695628,672486.5217325364,73,26.9
40.0,779108.8476999999,2519.367087729946,3,1454.5572662883678,40000.0,0.804134228277923,626508.0919897413,73,26.9
45.0,635824.1498666666,639.3405606136947,3,369.1234447741629,45000.0,0.7643666429527747,486002.7709418859,73,26.9
50.0,454063.4975666666,263.9795541805056,3,152.4086666666723,50000.0,0.7243313828098519,328892.44107594143,73,26.9
55.0,288064.6581666667,136.47342154575796,3,78.79296666667264,55000.0,0.6846941575705652,197236.18844927868,73,26.9
60.0,170579.31590000002,99.47046544311075,3,57.42929999999736,60000.0,0.6459780031498767,110190.48586375403,73,26.9
65.0,98346.9572,101.08246194478194,3,58.35998661416996,65000.0,0.6085737506440477,59851.37660763364,73,26.9
70.0,56811.66209333334,58.770817510606754,3,33.93134731024318,70000.0,0.5727561284812637,32539.227633163366,73,26.9
80.0,20112.931446666666,20.45036698206484,3,11.80702488212177,80000.0,0.5065101966324032,10187.404861905177,73,26.9
90.0,7840.301570333333,12.22037501985523,3,7.055436807311596,90000.0,0.44780983718720035,3510.9641697095212,73,26.9
