f_khz,gain2_mean,gain2_std,n,gain2_sem,f_hz,weight,weighted_integrand,C_pF,R_kohm
0.5,3475.983146666667,1.8612990260611075,3,1.0746214937387688,500.0,0.99988530898024,3475.584482614907,73,46.7
0.6,14589.643526666667,9.133704352590684,3,5.273346666666688,600.0,0.9998348532655184,14587.234094680987,73,46.7
0.75,79330.64060333333,44.327666311212226,3,25.592590077326285,750.0,0.9997419821959462,79310.17188565068,73,46.7
0.8,125233.1082,88.19826449216659,3,50.921291746610194,800.0,0.9997064435119513,125196.34520856939,73,46.7
0.85,187319.91876666667,113.17020481169861,3,65.33884821227927,850.0,0.9996686147859498,187257.8437152903,73,46.7
0.92,299416.37043333333,306.06982930917184,3,176.70949834247318,920.0,0.999611808295428,299300.139482118,73,46.7
1.0,445443.7301,446.3990562357669,3,257.72861528371493,1000.0,0.9995413937150274,445239.44680577447,73,46.7
1.2,749102.3164,391.65460176874547,3,226.12188976054088,1200.0,0.9993397401813324,748607.7142404102,73,46.7
1.5,900855.3414666667,549.0581585579232,3,316.9988756441772,1500.0,0.9989687270441352,899926.3137158657,73,46.7
2.0,925083.8912,563.8694977396826,3,325.55020630782485,2000.0,0.9981680952292334,923389.2256063514,73,46.7
3.2,914109.4862666667,527.5415109112404,3,304.57623333330656,3200.0,0.9953236876188161,909834.8247582802,73,46.7
5.0,906937.4479666665,523.576904347729,3,302.2872666666323,5000.0,0.9886596608945825,896652.4697593226,73,46.7
10.0,904797.8274666667,522.6029721786831,3,301.7249666666612,10000.0,0.9561311079155785,865105.3492153125,73,46.7
20.0,906754.1623999999,553.6568391682624,3,319.65392513247366,20000.0,0.8449323673852086,766145.9410730238,73,46.7
25.0,904993.1017333334,523.7637348948743,3,302.3951333333195,25000.0,0.7771454345940216,703311.257351143,73,46.7
30.0,894482.5639666667,898.899663039079,3,518.9799624300762,30000.0,0.7077466252914019,633067.0160294089,73,46.7
33.0,879388.9431333333,509.9677770075137,3,294.4300333333231,33000.0,0.6668216415277097,586395.5786014871,73,46.7
35.0,861800.8502000001,500.0193390490901,3,288.68630000001093,35000.0,0.640184184999328,551711.2749170151,73,46.7
38.0,820315.9150666666,504.53526652618876,3,291.2935719445547,38000.0,0.6014924290806206,493413.81236694136,73,46.7
40.0,779108.8476999999,2519.367087729946,3,1454.5572662883678,40000.0,0.576665776888842,449285.408939891,73,46.7
45.0,635824.1498666666,639.3405606136947,3,369.1234447741629,45000.0,0.5183754185096264,329595.60978566075,73,46.7
50.0,454063.4975666666,263.9795541805056,3,152.4086666666723,50000.0,0.46575712773539624,211483.31043613874,73,46.7
55.0,288064.6581666667,136.47342154575796,3,78.79296666667264,55000.0,0.4187744069189105,120634.10637804453,73,46.7
60.0,170579.31590000002,99.47046544311075,3,57.42929999999736,60000.0,0.37711086046282777,64327.31259620952,73,46.7
65.0,98346.9572,101.08246194478194,3,58.35998661416996,65000.0,0.3403096166610521,33468.4153045129,73,46.7
70.0,56811.66209333334,58.770817510606754,3,33.93134731024318,70000.0,0.3078626423274225,17490.188407066267,73,46.7
80.0,20112.931446666666,20.45036698206484,3,11.80702488212177,80000.0,0.2540374884484892,5109.438590047838,73,46.7
90.0,7840.301570333333,12.22037501985523,3,7.055436807311596,90000.0,0.21202543472107277,1662.3433487942345,73,46.7
