f_khz,gain2_mean,gain2_std,n,gain2_sem,f_hz,weight,weighted_integrand,C_pF,R_kohm
0.5,3475.983146666667,1.8612990260611075,3,1.0746214937387688,500.0,0.9999948659850957,3475.965300917385,73,9.88
0.6,14589.643526666667,9.133704352590684,3,5.273346666666688,600.0,0.9999926070352381,14589.535665946185,73,9.88
0.75,79330.64060333333,44.327666311212226,3,25.592590077326285,750.0,0.9999884485405968,79329.72421865897,73,9.88
0.8,125233.1082,88.19826449216659,3,50.921291746610194,800.0,0.9999868570271078,125231.46226465372,73,9.88
0.85,187319.91876666667,113.17020481169861,3,65.33884821227927,850.0,0.9999851628408956,187317.1394712285,73,9.88
0.92,299416.37043333333,306.06982930917184,3,176.70949834247318,920.0,0.9999826184920233,299411.16612530226,73,9.88
1.0,445443.7301,446.3990562357669,3,257.72861528371493,1000.0,0.9999794642566749,445434.5825818929,73,9.88
1.2,749102.3164,391.65460176874547,3,226.12188976054088,1200.0,0.9999704287968091,749080.164543191,73,9.88
1.5,900855.3414666667,549.0581585579232,3,316.9988756441772,1500.0,0.9999537957635664,900813.718133477,73,9.88
2.0,925083.8912,563.8694977396826,3,325.55020630782485,2000.0,0.9999178620869885,925007.9067398163,73,9.88
3.2,914109.4862666667,527.5415109112404,3,304.57623333330656,3200.0,0.9997897538826075,913917.2982963074,73,9.88
5.0,906937.4479666665,523.576904347729,3,302.2872666666323,5000.0,0.9994868593222767,906472.0614699642,73,9.88
10.0,904797.8274666667,522.6029721786831,3,301.7249666666612,10000.0,0.9979505921926399,902943.527734974,73,9.88
20.0,906754.1623999999,553.6568391682624,3,319.65392513247366,20000.0,0.9918524616566349,899366.34809384,73,9.88
25.0,904993.1017333334,523.7637348948743,3,302.3951333333195,25000.0,0.9873275490584642,893524.6210491895,73,9.88
30.0,894482.5639666667,898.899663039079,3,518.9799624300762,30000.0,0.9818528569076379,878250.2608847406,73,9.88
33.0,879388.9431333333,509.9677770075137,3,294.4300333333231,33000.0,0.9781253190808371,860152.5905984518,73,9.88
35.0,861800.8502000001,500.0193390490901,3,288.68630000001093,35000.0,0.9754605323465606,840652.7161128107,73,9.88
38.0,820315.9150666666,504.53526652618876,3,291.2935719445547,38000.0,0.971199824475194,796690.6727269547,73,9.88
40.0,779108.8476999999,2519.367087729946,3,1454.5572662883678,40000.0,0.9681874290513549,754323.3922058266,73,9.88
45.0,635824.1498666666,639.3405606136947,3,369.1234447741629,45000.0,0.9600745931315142,610438.611986431,73,9.88
50.0,454063.4975666666,263.9795541805056,3,152.4086666666723,50000.0,0.9511667086988399,431890.08252077,73,9.88
55.0,288064.6581666667,136.47342154575796,3,78.79296666667264,55000.0,0.9415115164085629,271216.1931342127,73,9.88
60.0,170579.31590000002,99.47046544311075,3,57.42929999999736,60000.0,0.9311592181851065,158836.50243199433,73,9.88
65.0,98346.9572,101.08246194478194,3,58.35998661416996,65000.0,0.920161880811611,90495.121109251,73,9.88
70.0,56811.66209333334,58.770817510606754,3,33.93134731024318,70000.0,0.9085728501457279,51617.53374965588,73,9.88
80.0,20112.931446666666,20.45036698206484,3,11.80702488212177,80000.0,0.8838361302497193,17776.535497799756,73,9.88
90.0,7840.301570333333,12.22037501985523,3,7.055436807311596,90000.0,0.8573807654286559,6722.123761563887,73,9.88
