f_khz,gain2_mean,gain2_std,n,gain2_sem,f_hz,weight,weighted_integrand
0.5,3475.983146666667,1.8612990260611075,3,1.0746214937387688,500.0,0.9418480524370447,3273.8479569919905
0.6,14589.643526666667,9.133704352590684,3,5.273346666666688,600.0,0.9183503533367152,13398.404287771053
0.75,79330.64060333333,44.327666311212226,3,25.592590077326285,750.0,0.8780245084677846,69654.24672217622
0.8,125233.1082,88.19826449216659,3,50.921291746610194,800.0,0.8635127346987383,108140.383736605
0.85,187319.91876666667,113.17020481169861,3,65.33884821227927,850.0,0.848582718131821,158956.4458272499
0.92,299416.37043333333,306.06982930917184,3,176.70949834247318,920.0,0.8271058961427379,247649.04538706812
1.0,445443.7301,446.3990562357669,3,257.72861528371493,1000.0,0.8019442010529103,357221.0162490727
1.2,749102.3164,391.65460176874547,3,226.12188976054088,1200.0,0.7376610588898525,552583.6079324653
1.5,900855.3414666667,549.0581585579232,3,316.9988756441772,1500.0,0.6428051032007872,579074.4107404611
2.0,925083.8912,563.8694977396826,3,325.55020630782485,2000.0,0.5030489286394304,465362.4603697554
3.2,914109.4862666667,527.5415109112404,3,304.57623333330656,3200.0,0.28336894634001325,259030.24196279614
5.0,906937.4479666665,523.576904347729,3,302.2872666666323,5000.0,0.13938761068966934,126415.84391705996
10.0,904797.8274666667,522.6029721786831,3,301.7249666666612,10000.0,0.03891511650435663,35210.3128687541
20.0,906754.1623999999,553.6568391682624,3,319.65392513247366,20000.0,0.010021263091638087,9086.822020848327
25.0,904993.1017333334,523.7637348948743,3,302.3951333333195,25000.0,0.006436830239598981,5825.2869638655975
30.0,894482.5639666667,898.899663039079,3,518.9799624300762,30000.0,0.004478830003957137,4006.235345510416
33.0,879388.9431333333,509.9677770075137,3,294.4300333333231,33000.0,0.0037043918889919764,3257.6012682123464
35.0,861800.8502000001,500.0193390490901,3,288.68630000001093,35000.0,0.0032944836890526517,2839.188844195608
38.0,820315.9150666666,504.53526652618876,3,291.2935719445547,38000.0,0.0027962326720158545,2293.794163083996
40.0,779108.8476999999,2519.367087729946,3,1454.5572662883678,40000.0,0.002524288189962569,1966.6952629444556
45.0,635824.1498666666,639.3405606136947,3,369.1234447741629,45000.0,0.001995556534247717,1268.8230368989264
50.0,454063.4975666666,263.9795541805056,3,152.4086666666723,50000.0,0.001617013892842219,734.226983797829
55.0,288064.6581666667,136.47342154575796,3,78.79296666667264,55000.0,0.0013367502620071517,385.0705072792923
60.0,170579.31590000002,99.47046544311075,3,57.42929999999736,60000.0,0.0011234814126842984,191.6426908020532
65.0,98346.9572,101.08246194478194,3,58.35998661416996,65000.0,0.0009574450604719916,94.16180838359037
70.0,56811.66209333334,58.770817510606754,3,33.93134731024318,70000.0,0.0008256610173288703,46.907174720125624
80.0,20112.931446666666,20.45036698206484,3,11.80702488212177,80000.0,0.0006322690694994043,12.71678445068924
90.0,7840.301570333333,12.22037501985523,3,7.055436807311596,90000.0,0.0004996369238580465,3.917304158720758
